decade,WORLD,UN development groups,More developed regions,Less developed regions,Least developed countries,"Less developed regions, excluding least developed countries","Less developed regions, excluding China",Land-locked Developing Countries (LLDC),Small Island Developing States (SIDS),World Bank income groups,High-income countries,Middle-income countries,Upper-middle-income countries,Lower-middle-income countries,Low-income countries,No income group available,Geographic regions,Africa,Asia,Europe,Latin America and the Caribbean,Northern America,Oceania,Sustainable Development Goal (SDG) regions,SUB-SAHARAN AFRICA,Eastern Africa,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Madagascar,Malawi,Mauritius,Mayotte,Mozambique,Réunion,Rwanda,Seychelles,Somalia,South Sudan,Uganda,United Republic of Tanzania,Zambia,Zimbabwe,Middle Africa,Angola,Cameroon,Central African Republic,Chad,Congo,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Sao Tome and Principe,Southern Africa,Botswana,Eswatini,Lesotho,Namibia,South Africa,Western Africa,Benin,Burkina Faso,Cabo Verde,Côte d'Ivoire,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Saint Helena,Senegal,Sierra Leone,Togo,NORTHERN AFRICA AND WESTERN ASIA,Northern Africa,Algeria,Egypt,Libya,Morocco,Sudan,Tunisia,Western Sahara,Western Asia,Armenia,Azerbaijan,Bahrain,Cyprus,Georgia,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,State of Palestine,Syrian Arab Republic,Turkey,United Arab Emirates,Yemen,CENTRAL AND SOUTHERN ASIA,Central Asia,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,Southern Asia,Afghanistan,Bangladesh,Bhutan,India,Iran (Islamic Republic of),Maldives,Nepal,Pakistan,Sri Lanka,EASTERN AND SOUTH-EASTERN ASIA,Eastern Asia,China,"China, Hong Kong SAR","China, Macao SAR","China, Taiwan Province of China",Dem. People's Republic of Korea,Japan,Mongolia,Republic of Korea,South-Eastern Asia,Brunei Darussalam,Cambodia,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Philippines,Singapore,Thailand,Timor-Leste,Viet Nam,LATIN AMERICA AND THE CARIBBEAN,Caribbean,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,"Bonaire, Sint Eustatius and Saba",British Virgin Islands,Cayman Islands,Cuba,Curaçao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,Saint Barthélemy,Saint Kitts and Nevis,Saint Lucia,Saint Martin (French part),Saint Vincent and the Grenadines,Sint Maarten (Dutch part),Trinidad and Tobago,Turks and Caicos Islands,United States Virgin Islands,Central America,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,South America,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Ecuador,Falkland Islands (Malvinas),French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela (Bolivarian Republic of),AUSTRALIA/NEW ZEALAND,Australia,New Zealand,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Melanesia,Fiji,New Caledonia,Papua New Guinea,Solomon Islands,Vanuatu,Micronesia,Guam,Kiribati,Marshall Islands,Micronesia (Fed. States of),Nauru,Northern Mariana Islands,Palau,Polynesia,American Samoa,Cook Islands,French Polynesia,Niue,Samoa,Tokelau,Tonga,Tuvalu,Wallis and Futuna Islands,EUROPE AND NORTHERN AMERICA,EUROPE,Eastern Europe,Belarus,Bulgaria,Czechia,Hungary,Poland,Republic of Moldova,Romania,Russian Federation,Slovakia,Ukraine,Northern Europe,Channel Islands,Denmark,Estonia,Faroe Islands,Finland,Iceland,Ireland,Isle of Man,Latvia,Lithuania,Norway,Sweden,United Kingdom,Southern Europe,Albania,Andorra,Bosnia and Herzegovina,Croatia,Gibraltar,Greece,Holy See,Italy,Malta,Montenegro,North Macedonia,Portugal,San Marino,Serbia,Slovenia,Spain,Western Europe,Austria,Belgium,France,Germany,Liechtenstein,Luxembourg,Monaco,Netherlands,Switzerland,NORTHERN AMERICA,Bermuda,Canada,Greenland,Saint Pierre and Miquelon,United States of America
1950,2536431.018,...,814818.913,1721612.105,195427.785,1526184.32,1157420.006,103803.462,23771.12,...,694989.106,1703596.496,938930.867,764665.629,137041.865,803.551,...,227794.137,1404908.992,549328.859,168820.524,172602.611,12975.895,...,179006.53,66144.565,2308.927,159.459,62,822.347,18128.03,6076.757,4083.548,2953.871,493.258,15.138,5958.982,248.114,2186.183,36.325,2264.076,2482.306,5158.191,7649.765,2310.436,2746.852,26453.755,4548.021,4307.021,1326.66,2502.321,827.246,12183.662,225.53,473.296,59.998,15533.036,412.541,272.997,704.686,514.378,13628.434,70875.174,2255.222,4284.455,178.064,2630.131,304.895,5036.151,3012.938,535.438,930.022,4708.425,651.434,2559.706,37859.75,5.249,2486.642,2041.201,1395.451,100239.14,48787.607,8872.25,20451.988,1124.519,8985.986,5733.789,3605.312,13.763,51451.533,1353.502,2927.926,115.612,494.018,3527.008,5719.183,1257.968,481.319,153.103,1334.617,456.41,25.006,3121.34,931.925,3413.325,21408.398,69.594,4661.279,510788.12,17449.568,6703,1740.005,1531.507,1210.998,6264.058,493338.552,7752.117,37894.671,176.796,376325.2,17119.262,73.716,8483.322,37542.37,7971.098,842669.339,677535.239,554419.269,1974.002,196.473,7602.355,10549.47,82802.084,780.199,19211.387,165134.1,48.009,4432.724,69543.321,1682.915,6109.902,17779.635,18580.483,1022.095,20710.353,414.754,24809.909,168820.524,17079.834,5.122,45.515,38.052,79.09,210.99,7.129,7.437,6.416,5919.989,100.181,51.099,2364.649,76.681,209.999,3221.27,1402.903,222.003,13.524,2218.005,1.996,46.053,82.783,2.999,66.997,1.49,645.626,5.044,26.792,37975.499,68.915,945.683,2199.903,3114.956,1546.719,27944.671,1294.994,859.658,113765.191,17037.91,3081.836,53974.728,6598.518,11981.576,3470.16,2.254,25.484,406.559,1473.241,7777.452,214.996,2238.501,5481.976,10085.359,8177.348,1908.011,2890.536,2493.453,288.994,64.823,2002.147,89.793,47.696,155.57,59.653,33.05,13.005,32.004,3.43,6.997,7.431,241.513,18.941,15.071,60.27,4.666,82.106,1.572,47.217,4.676,6.994,721931.47,549328.859,220170.508,7745.004,7250.996,8902.62,9337.718,24824.007,2341.009,16236.289,102798.649,3436.576,37297.64,78007.08,102.235,4268.281,1100.997,31.502,4008.292,142.657,2912.682,55.253,1926.568,2567.407,3265.274,7009.913,50616.019,108737.286,1263.164,6.198,2661.296,3850.294,22.032,7668.792,0.906,46598.599,311.998,394.739,1254.444,8416.971,12.774,6732.252,1473.093,28069.734,142413.985,6936.442,8637.521,41833.873,69966.252,13.752,296.005,20,10042.051,4668.089,172602.611,37.256,13733.398,22.993,4.567,158804.397
1960,3034949.715,...,916344.412,2118605.303,240518.397,1878086.906,1444107.259,130210.232,29188.016,...,787158.23,2080780.919,1144055.207,936725.712,165954.459,1056.107,...,283361.171,1705041.057,605406.966,220469.724,204649.165,16021.632,...,220137.978,83558.159,2797.925,191.122,83.634,1007.586,22151.284,8120.082,5099.368,3659.98,660.025,24.016,7184.87,335.694,2935.575,41.611,2755.967,2842.718,6767.092,10052.151,3070.78,3776.679,32222.194,5454.938,5176.92,1501.668,3001.604,1018.254,15248.256,255.338,500.922,64.294,19410.549,502.733,336.578,837.264,634.138,17099.836,84947.076,2431.617,4829.289,201.77,3503.559,365.049,6635.229,3494.164,616.14,1118.655,5263.727,850.377,3388.774,45138.46,5.363,3206.757,2317.638,1580.508,129301.679,63223.193,11057.864,26632.891,1448.416,12328.532,7544.498,4178.235,32.757,66078.486,1874.119,3895.398,162.429,572.933,4007.724,7289.753,2060.476,933.102,269.026,1804.935,551.735,47.383,4086.534,1069.318,4573.514,27472.339,92.417,5315.351,619067.7,24321.261,9934.564,2170.091,2087.053,1603.254,8526.299,594746.439,8996.967,48013.505,223.284,450547.675,21906.909,89.873,10105.06,44988.69,9874.476,1019894.871,805880.88,660408.054,3046.048,167.795,10876.147,11424.189,93673.612,955.514,25329.521,214013.991,81.707,5722.372,87751.066,2120.892,8156.342,21736.947,26269.741,1633.133,27397.208,474.535,32670.048,220469.724,20667.481,6.02,54.132,54.208,109.532,230.985,8.078,8.053,7.87,7141.241,126.941,60.02,3294.222,89.927,275.173,3866.162,1628.524,281.626,11.957,2294.971,2.306,51.199,89.698,3.898,80.97,2.833,847.973,5.825,33.137,51116.559,92.068,1330.787,2766.319,4210.751,2038.636,37771.861,1773.132,1133.005,148685.684,20481.781,3656.961,72179.235,8132.988,16057.714,4543.658,2.144,32.032,571.813,1903.99,10155.011,287.87,2538.648,8141.839,12614.669,10242.07,2372.599,3406.963,2908.933,393.48,78.059,2255.858,117.847,63.689,191.239,66.733,41.196,14.674,44.51,4.377,9.98,9.769,306.791,20.127,18.213,78.08,4.83,108.627,1.871,61.574,5.321,8.148,810056.131,605406.966,253510.721,8124.881,7885.607,9590.178,10000.989,29614.201,3004.446,18613.945,119871.7,4140.128,42664.646,81727.075,109.419,4581.099,1216.82,34.624,4434.593,175.584,2791.39,48.444,2129.584,2769.879,3582.508,7482.536,52370.595,117760.615,1636.091,13.41,3225.664,4192.641,23.42,8273.628,0.904,49699.947,312.973,487.416,1488.67,8844.638,15.44,7556.732,1586.628,30402.413,152408.555,7070.773,9167.361,45673.147,73414.229,16.501,314.585,22.461,11448.815,5280.683,204649.165,44.986,17847.404,31.23,4.975,186720.57
1970,3700437.042,...,1008451.91,2691985.132,306916.898,2385068.234,1845364.17,167054.846,35868.046,...,880845.621,2607460.629,1428300.048,1179160.581,210778.276,1352.516,...,363447.593,2142480.29,656919.37,286675.705,230991.859,19922.225,...,280908.111,109682.256,3479.07,230.055,159.662,1310.947,28415.08,11301.394,6576.305,4703.783,826.451,36.964,9022.747,462.029,3757.351,52.371,3444.569,3494.011,9405.606,13535.487,4179.062,5289.312,40170.679,5890.36,6519.754,1811.157,3643.608,1326.894,20011.033,303.986,589.317,74.57,24975.152,627.714,431.251,1028.93,817.474,22069.783,106080.024,2912.338,5624.592,268.633,5102.07,464.404,8735.493,4154.606,704.937,1400.73,5949.042,1146.776,4510.645,55982.142,5.696,4257.508,2744.89,2115.522,168730.175,82539.482,14464.992,34513.851,2133.527,16004.732,10281.695,5063.805,76.88,86190.693,2525.067,5180.032,212.607,613.618,4713.34,9917.978,2813.746,1721.315,744.444,2297.436,723.842,109.521,5836.388,1126.628,6350.544,34876.296,234.512,6193.379,775436.811,33211.581,13036.14,2969.857,2930.108,2195.165,12080.311,742225.23,11173.654,64232.486,297.307,555189.797,28513.872,115.688,12074.628,58142.062,12485.736,1280852.786,999435.111,827601.385,3848.922,246.193,14924.462,14410.391,104929.26,1278.819,32195.679,281417.675,129.53,6996.576,114793.179,2688.429,10804.131,27269.063,35803.591,2072.284,36884.525,571.565,43404.802,286675.705,25201.317,6.773,64.184,59.07,169.376,238.895,10.359,9.83,9.143,8712.535,143.639,71.084,4499.722,94.476,321.887,4676.237,1875.637,325.014,11.538,2631.7,2.345,44.878,104.016,5.707,90.501,6.854,945.357,5.837,64.723,69400.464,122.184,1847.394,3673.066,5621.794,2716.652,51493.565,2406.523,1519.286,192073.924,23880.564,4484.004,95113.265,9783.134,21480.064,6069.375,1.989,47.932,704.93,2474.757,13459.789,367.926,2809.799,11396.396,15611.421,12793.03,2818.391,4310.804,3654.63,520.561,105.323,2783.132,160.24,85.374,248.182,83.875,51.142,20.394,61.415,6.553,13,11.803,407.992,27.362,21.301,110.49,5.127,143.146,1.623,84.344,5.74,8.859,887911.229,656919.37,276164.934,8913.549,8507.541,9817.667,10366.099,32639.262,3595.549,20548.912,130148.65,4538.843,47088.862,87251.322,121.2,4931.239,1360.206,39.008,4612.365,204.423,2908.43,55.431,2378.022,3136.585,3876.049,8054.909,55573.455,127475.179,2150.704,24.275,3760.536,4423.069,28.601,8663.568,0.649,53518.966,320.548,519.702,1720.805,8651.334,19.224,8119.865,1669.584,33883.749,166027.935,7516.238,9632.179,50763.921,78578.381,21.268,339.672,23.487,13001.941,6150.848,230991.859,52.565,21374.326,46.077,5.551,209513.34
1980,4458003.466,...,1083125.601,3374877.865,390612.544,2984265.321,2351776.349,209112.912,42471.239,...,963431.383999999,3221987.819,1731254.574,1490733.245,271057.726,1526.537,...,476386.225,2649578.327,693566.516,361253.181,254007.133,23212.084,...,369613.669,146488.368,4157.296,307.831,358.96,1733.423,35141.703,16417.203,8716.549,6250.434,966.039,55.136,11630.194,509.264,5153.314,66.237,6281.138,4502.603,12442.333,18538.263,5851.818,7408.63,52885.376,8341.29,8621.409,2199.359,4514.427,1777.932,26358.905,249.931,726.335,95.788,32440.464,897.86,587.852,1340.258,1057.723,28556.771,137799.461,3717.161,6822.837,283.848,8033.652,637.252,11056.112,4871.446,781.678,1852.991,7090.124,1540.644,5989,73423.646,6.584,5583.157,3388.494,2720.835,220224.392,106772.556,19221.659,43309.063,3219.462,19990.006,14507.466,6374.04,150.86,113451.836,3099.759,6150.735,359.897,685.408,5017.827,13653.348,3700.916,2377.997,1368.68,2588.928,1154.373,223.622,9691.471,1510.717,8930.776,43975.972,1019.507,7941.903,980358.988,41088.161,14796.175,3610.974,3905.443,2876.809,15898.76,939270.827,13356.5,79639.498,406.883,698952.837,38650.244,158.271,15016.408,78054.346,15035.84,1555767.503,1198125.829,1000089.228,4868.744,238.085,17905.459,17472.144,117816.942,1689.622,38045.605,357641.674,193.88,6693.759,147447.834,3258.149,13798.094,34224.316,47357.741,2411.69,47374.463,599.907,54281.841,361253.181,29645.559,7.284,61.861,60.097,210.589,252.388,11.209,11.471,16.207,9849.457,147.997,75.318,5803.929,89.032,336.683,5643.175,2162.839,325.448,11.607,3090.688,3.085,43.201,117.828,8.777,100.566,13.097,1084.743,7.894,99.089,91092.356,144.142,2389.973,4591.135,7283.456,3678.274,67761.367,3265.52,1978.489,240515.266,27896.532,5579.932,120694.012,11419.35,26900.508,7989.178,1.853,66.973,780.153,3181.627,17547.612,359.531,2915.389,15182.616,17735.01,14588.4,3146.61,5477.074,4697.81,635.312,145.141,3571.209,230.55,115.598,303.502,104.134,59.296,30.574,72.936,7.751,16.633,12.178,475.762,32.648,17.519,153.298,3.401,155.522,1.543,92.966,7.631,11.234,947573.649,693566.516,294734.201,9569.847,8878.787,10349.084,10754.286,35539.723,4011.085,22615.644,138053.143,4996.73,49965.872,89798.441,128.204,5123.945,1474.438,43.339,4788.247,228.256,3384.76,63.546,2521.381,3430.76,4086.07,8316.331,56209.164,138555.094,2682.697,36.063,4179.85,4598.125,30.068,9627.004,0.725,56349.352,331.494,580.757,1924.203,9750.966,21.453,8908.295,1835.842,37698.2,170478.78,7609.75,9868.999,53868.006,78283.101,25.881,364.048,26.752,14148.41,6283.833,254007.133,57.58,24416.885,50.179,6.129,229476.36
1990,5327231.04100001,...,1145507.68,4181723.361,506275.626,3675447.735,2978289.406,265852.002,49807.705,...,1038455.421,3936198.975,2056240.366,1879958.609,350700.961,1875.684,...,630349.685,3226098.922,720858.411,442840.078,279785.251,27298.694,...,490604.852,197168.372,5438.959,411.598,590.393,2258.649,47887.864,23724.574,11598.647,9404.499,1055.869,94.779,12987.292,610.584,7288.883,70.572,7225.089,5492.62,17354.395,25203.848,8036.849,10432.409,70855.116,11848.385,11780.086,2806.74,5963.25,2356.74,34612.023,419.188,949.493,119.211,42046.342,1286.756,822.423,1703.757,1432.899,36800.507,180535.022,4978.489,8811.033,337.953,11924.873,955.595,14773.274,6352.282,975.265,2075.917,8449.915,2034.347,8026.592,95212.454,6.654,7526.306,4319.763,3774.31,288060.443,139744.833,25758.872,56134.478,4436.663,24807.461,20147.592,8242.509,217.258,148315.61,3538.164,7242.758,495.927,766.616,5410.4,17419.113,4448.348,3565.888,2095.35,2803.032,1812.158,476.275,16233.786,2101.445,12446.168,53921.758,1828.437,11709.987,1239984.308,50122.902,16383.881,4372.885,5283.811,3683.978,20398.347,1189861.406,12412.311,103171.957,530.801,873277.799,56366.212,223.159,18905.48,107647.918,17325.769,1837799.004,1393334.81,1176883.681,5727.942,343.816,20478.516,20293.057,124505.243,2184.139,42918.416,444464.194,258.714,8975.597,181413.398,4258.471,18029.824,41335.188,61895.169,3012.968,56558.196,737.814,67988.855,442840.078,34058.199,8.894,62.533,62.152,256.227,260.933,13.01,17.489,25.307,10596.986,146.679,70.422,7133.491,96.328,389.251,7037.915,2419.901,358.457,10.616,3403.168,5.345,40.26,138.019,31.522,107.489,28.814,1221.121,12.115,103.755,113383.702,187.554,3119.436,5270.074,9263.82,4955.302,83943.135,4173.435,2470.946,295398.177,32618.648,6864.839,149003.225,13274.617,33102.569,10230.931,1.98,115.784,743.306,4223.413,22071.433,405.169,3109.598,19632.665,20358.775,16960.6,3398.175,6939.919,5973.197,728.575,170.335,4615.843,311.869,146.575,416.764,130.48,72.394,47.265,96.304,9.506,45.752,15.063,549.958,47.351,18.195,199.906,2.332,162.797,1.604,95.069,8.91,13.794,1000643.662,720858.411,309808.642,10151.135,8841.466,10340.877,10377.135,37960.193,4365.562,23489.156,147531.562,5288.455,51463.101,92036.273,140.677,5141.117,1565.246,47.276,4996.22,255.044,3510.881,70.292,2664.447,3696.035,4247.286,8567.375,57134.377,143503.834,3286.07,54.508,4463.422,4776.37,29.149,10225.99,0.762,57048.237,362.017,615.004,1996.218,9895.358,24.124,9517.677,2006.404,39202.524,175509.662,7723.954,10006.545,56666.861,79053.984,28.79,381.78,29.433,14965.442,6652.873,279785.251,61.63,27541.323,55.604,6.385,252120.309
2000,6143493.806,...,1188359.407,4955134.399,657215.854,4297918.545,3635583.004,333947.033,57613.591,...,1112318.334,4567891.009,2285144.582,2282746.427,461020.981,2263.482,...,810984.232,3741263.352,725558.028,521836.322,312426.785,31425.087,...,639661.386,257353.351,6378.871,542.358,717.577,2292.413,66224.809,31964.557,15766.806,11148.751,1185.147,150.331,17711.925,736.714,7933.688,80.998,8872.25,6199.396,23650.159,33499.177,10415.942,11881.482,96115.549,16395.477,15513.944,3640.421,8355.654,3127.42,47105.83,606.18,1228.359,142.264,51443.866,1643.333,1005.432,2032.805,1794.583,44967.713,234748.62,6865.946,11607.951,428.178,16454.66,1317.708,19278.85,8240.735,1201.305,2848.447,10946.448,2630.217,11331.561,122283.853,6.054,9797.731,4584.57,4924.406,355881.668,171322.846,31042.238,68831.561,5357.893,28793.672,27275.019,9708.347,314.116,184558.822,3069.597,8122.743,664.61,943.288,4362.184,23497.589,5945.949,5122.495,2045.123,3842.774,2267.973,592.467,20663.84,3224.009,16410.847,63240.196,3134.067,17409.071,1511915.31,55345.848,14922.724,4920.712,6216.329,4516.128,24769.955,1456569.462,20779.957,127657.862,591.014,1056575.548,65623.397,279.396,23941.099,142343.583,18777.606,2044789.22,1519781.295,1290550.767,6606.328,427.772,21966.528,22929.078,127524.168,2397.417,47379.237,525007.925,333.166,12155.241,211513.822,5323.701,23194.252,46719.698,77991.757,4028.872,62952.639,884.366,79910.411,521836.322,38102.081,11.247,76.007,90.866,298.045,271.511,14.387,20.313,42.305,11126.423,132.147,69.65,8471.317,102.837,422.048,8463.802,2654.698,387.016,4.925,3668.955,7.416,44.083,156.737,28.935,107.787,32.564,1267.159,20.171,108.73,135322.351,247.31,3962.369,5887.93,11650.744,6574.51,98899.845,5069.31,3030.333,348411.89,36870.796,8418.27,174790.339,15342.35,39629.965,12681.123,2.893,163.163,746.718,5323.202,26459.944,470.944,3319.734,24192.449,22850.426,18991.434,3858.992,8574.661,7473.493,811.011,217.263,5847.59,412.665,184.964,484.779,155.323,84.405,50.754,107.405,10.335,57.453,19.104,616.389,57.816,17.935,240.681,1.902,174.454,1.55,97.962,9.392,14.697,1037984.813,725558.028,303918.405,9871.635,7997.951,10289.374,10220.509,38556.699,4202.659,22137.423,146404.89,5399.207,48838.058,94454.223,148.439,5341.192,1399.111,46.738,5187.953,280.439,3783.095,76.942,2384.15,3501.842,4499.375,8881.642,58923.305,144846.713,3129.246,65.39,3751.176,4428.075,31.081,11082.103,0.79,56692.178,393.649,613.558,2034.823,10297.117,27.46,9487.612,1987.71,40824.745,182338.687,8069.276,10282.046,59015.092,81400.883,33.184,436.106,32.148,15926.188,7143.764,312426.785,65.017,30588.379,56.177,6.298,281710.914
2010,6956823.588,...,1234767.516,5722056.072,836614.841,4885441.231,4322553.373,420661.371,65253.137,...,1197095.041,5153738.178,2466363.506,2687374.672,603339.579,2650.79,...,1039304.03,4209593.724,736412.998,591352.345,343287.422,36873.069,...,836363.757,339317.85,8675.606,689.696,840.194,3170.437,87639.962,42030.684,21151.64,14539.609,1247.953,208.716,23531.567,830.507,10039.338,91.273,12043.886,9508.372,32428.164,44346.532,13605.986,12697.728,131622.131,23356.247,20341.236,4386.765,11952.134,4273.738,64563.853,943.64,1624.146,180.372,58383.366,1987.106,1064.841,1995.575,2118.877,51216.967,307040.41,9199.254,15605.211,492.644,20532.944,1793.199,24779.614,10192.168,1522.603,3891.357,15049.352,3494.2,16464.025,158503.203,5.183,12678.143,6415.636,6421.674,435366.79,202940.273,35977.451,82761.244,6197.667,32343.384,34545.014,10635.245,480.268,232426.517,2877.314,9032.465,1240.864,1112.617,4099.096,29741.977,7346.446,7261.541,2991.884,4953.064,3041.435,1856.329,27421.468,4055.632,21362.541,72326.992,8549.998,23154.854,1775360.533,62805.087,16252.273,5422.298,7527.397,5087.211,28515.908,1712555.446,29185.511,147575.433,685.502,1234281.163,73762.519,365.73,27013.207,179424.643,20261.738,2201806.674,1604859.428,1368810.604,6966.324,538.215,23187.556,24548.84,128542.349,2719.902,49545.638,596947.246,388.634,14312.205,241834.226,6249.168,28208.028,50600.827,93966.784,5131.17,67195.032,1093.517,87967.655,591352.345,41217.34,13.436,88.03,101.665,354.936,282.131,20.941,27.796,56.672,11225.833,149.188,70.877,9695.117,106.227,406.073,9949.318,2810.464,394.666,4.895,3579.842,9.234,49.011,174.092,37.582,108.26,34.166,1328.144,32.658,106.086,157591.31,322.465,4577.371,6183.877,14630.42,8317.467,114092.961,5824.058,3642.691,392543.695,40895.751,10048.597,195713.637,17062.531,45222.699,15011.114,2.902,232.996,749.43,6248.017,29027.68,529.126,3359.273,28439.942,26524.747,22154.687,4370.06,10348.322,9187.934,859.816,253.529,7310.512,527.861,236.216,503.58,159.439,102.93,56.361,102.916,10.009,53.971,17.954,656.808,56.084,18.392,266.449,1.622,185.944,1.129,103.981,10.521,12.686,1079700.42,736412.998,294872.867,9420.576,7425.011,10536.514,9927.38,38329.784,4086.09,20471.86,143479.273,5404.293,45792.086,100398.301,159.718,5554.849,1332.103,47.803,5365.784,320.342,4554.33,84.856,2118.855,3123.825,4885.878,9390.157,63459.801,153015.518,2948.029,84.454,3705.478,4328.163,33.585,10887.64,0.783,59325.232,414.257,624.279,2070.737,10596.055,31.221,8991.258,2043.336,46931.011,188126.312,8409.945,10938.735,62879.535,80827.001,35.996,507.89,35.609,16682.927,7808.674,343287.422,65.388,34147.566,56.638,6.361,309011.469
2018,7631091.113,...,1267558.904,6363532.20899999,1009691.252,5353840.957,4904154.59899999,508906.035,70791.836,...,1252546.331,5639084.2,2622069.755,3017014.445,736589.379,2871.203,...,1275921.014,4560667.137,746419.436,642216.709,364295.994,41570.823,...,1038627.212,422563.393,11175.379,832.322,958.923,3452.797,109224.41,51392.57,26262.313,18143.215,1267.184,259.526,29496.009,882.531,12301.969,97.094,15008.225,10975.924,42729.032,56313.444,17351.714,14438.812,169121.878,30809.787,25216.261,4666.375,15477.727,5244.363,84068.092,1308.966,2119.275,211.032,65739.488,2254.067,1136.274,2108.327,2448.3,57792.52,381202.453,11485.035,19751.466,543.764,25069.226,2280.092,29767.108,12414.292,1874.304,4818.976,19077.755,4403.312,22442.831,195874.685,6.039,15854.324,7650.149,7889.095,508325.577,237293.802,42228.415,98423.602,6678.565,36029.089,41801.532,11565.203,567.396,271031.775,2951.741,9949.537,1569.44,1189.262,4002.946,38433.604,8381.507,9965.322,4137.314,6859.408,4829.476,2781.682,33702.757,4862.978,16945.062,82340.09,9630.966,28498.683,1967865.604,72051.622,18319.616,6304.025,9100.847,5850.902,32476.232,1895813.982,37171.922,161376.713,754.396,1352642.283,81800.204,515.704,28095.712,212228.288,21228.76,2321769.758,1666471.32,1427647.789,7371.728,631.633,23726.46,25549.606,127202.19,3170.214,51171.7,655298.438,428.96,16249.795,267670.549,7061.498,31528.033,53708.318,106651.394,5757.503,69428.454,1267.975,95545.959,642216.709,43163.827,14.738,96.282,105.846,385.635,286.64,25.709,29.795,64.172,11338.146,162.753,71.626,10627.147,111.449,399.848,11123.183,2934.853,375.672,4.993,3039.598,9.824,52.438,181.89,37.264,110.21,41.936,1389.841,37.667,104.672,175471.784,383.071,4999.443,6420.74,17247.855,9587.523,126190.782,6465.502,4176.868,423581.098,44361.15,11353.14,209469.32,18729.166,49661.056,17084.359,3.236,282.936,779.007,6956.069,31989.265,575.987,3449.29,28887.117,29641.284,24898.153,4743.131,11929.539,10715.331,883.49,279.986,8606.324,652.856,292.675,538.142,165.77,115.842,58.412,112.64,10.678,56.889,17.911,676.066,55.461,17.519,277.673,1.61,196.128,1.318,103.199,11.505,11.653,1110715.43,746419.436,293790.26,9452.615,7051.61,10665.679,9707.502,37921.585,4051.95,19506.11,145734.034,5453.017,44246.158,105237.1,170.496,5752.131,1322.913,48.497,5522.585,336.712,4818.694,84.073,1928.461,2801.27,5337.96,9971.63,67141.678,152637.57,2882.735,77.008,3323.929,4156.407,33.715,10522.244,0.81,60627.291,439.255,627.803,2082.957,10256.192,33.784,8802.741,2077.836,46692.863,194754.506,8891.383,11482.18,64990.512,83124.413,37.918,604.244,38.682,17059.56,8525.614,364295.994,62.763,37074.558,56.565,5.845,327096.263
